symbol,date,type,value,adjust_factor
000001.SH,1991-05-02,dividend,0.3,1.0
000001.SH,1991-05-02,split,0.4,0.7142857142857143
000001.SH,1992-03-23,dividend,0.2,1.0
000001.SH,1992-03-23,split,0.5,0.6666666666666666
000001.SH,1993-05-24,dividend,0.3,1.0
000001.SH,1993-05-24,split,0.85,0.5405405405405405
000001.SH,1994-07-11,dividend,0.5,1.0
000001.SH,1994-07-11,split,0.5,0.6666666666666666
000001.SH,1995-09-25,dividend,0.3,1.0
000001.SH,1995-09-25,split,0.2,0.8333333333333334
000001.SH,1996-05-27,split,1.0,0.5
000001.SH,1997-08-25,dividend,0.2,1.0
000001.SH,1997-08-25,split,0.5,0.6666666666666666
000001.SH,1999-10-18,dividend,0.6,1.0
000001.SH,2002-07-23,dividend,0.15,1.0
000001.SH,2003-09-29,dividend,0.15,1.0
000001.SH,2008-10-31,dividend,0.0335,1.0
000001.SH,2008-10-31,split,0.3,0.7692307692307692
000001.SH,2012-10-19,dividend,0.1,1.0
000001.SH,2013-06-20,dividend,0.16999999999999998,1.0
000001.SH,2013-06-20,split,0.6,0.625
000001.SH,2014-06-12,dividend,0.16,1.0
000001.SH,2014-06-12,split,0.2,0.8333333333333334
000001.SH,2015-04-13,dividend,0.174,1.0
000001.SH,2015-04-13,split,0.2,0.8333333333333334
000001.SH,2016-06-16,dividend,0.153,1.0
000001.SH,2016-06-16,split,0.2,0.8333333333333334
000001.SH,2017-07-21,dividend,0.158,1.0
000001.SH,2018-07-12,dividend,0.136,1.0
000001.SH,2019-06-26,dividend,0.145,1.0
000001.SH,2020-05-28,dividend,0.21800000000000003,1.0
000001.SH,2021-05-14,dividend,0.18,1.0
000001.SH,2022-07-22,dividend,0.22799999999999998,1.0
000001.SH,2023-06-14,dividend,0.28500000000000003,1.0
000001.SH,2024-06-14,dividend,0.7190000000000001,1.0
000001.SH,2024-10-10,dividend,0.246,1.0
000001.SH,2025-06-12,dividend,0.362,1.0001063987390761
000001.SH,2025-10-15,dividend,0.236,1.0000603276149764
000001.SZ,1991-05-02,dividend,0.3,1.0
000001.SZ,1991-05-02,split,0.4,0.7142857142857143
000001.SZ,1992-03-23,dividend,0.2,1.0
000001.SZ,1992-03-23,split,0.5,0.6666666666666666
000001.SZ,1993-05-24,dividend,0.3,1.0
000001.SZ,1993-05-24,split,0.85,0.5405405405405405
000001.SZ,1994-07-11,dividend,0.5,1.0
000001.SZ,1994-07-11,split,0.5,0.6666666666666666
000001.SZ,1995-09-25,dividend,0.3,1.0
000001.SZ,1995-09-25,split,0.2,0.8333333333333334
000001.SZ,1996-05-27,split,1.0,0.5
000001.SZ,1997-08-25,dividend,0.2,1.0
000001.SZ,1997-08-25,split,0.5,0.6666666666666666
000001.SZ,1999-10-18,dividend,0.6,1.0
000001.SZ,2002-07-23,dividend,0.15,1.0
000001.SZ,2003-09-29,dividend,0.15,1.0
000001.SZ,2008-10-31,dividend,0.0335,1.0
000001.SZ,2008-10-31,split,0.3,0.7692307692307692
000001.SZ,2012-10-19,dividend,0.1,1.0
000001.SZ,2013-06-20,dividend,0.16999999999999998,1.0
000001.SZ,2013-06-20,split,0.6,0.625
000001.SZ,2014-06-12,dividend,0.16,1.0
000001.SZ,2014-06-12,split,0.2,0.8333333333333334
000001.SZ,2015-04-13,dividend,0.174,1.0
000001.SZ,2015-04-13,split,0.2,0.8333333333333334
000001.SZ,2016-06-16,dividend,0.153,1.0
000001.SZ,2016-06-16,split,0.2,0.8333333333333334
000001.SZ,2017-07-21,dividend,0.158,1.0
000001.SZ,2018-07-12,dividend,0.136,1.0
000001.SZ,2019-06-26,dividend,0.145,1.0
000001.SZ,2020-05-28,dividend,0.21800000000000003,1.0
000001.SZ,2021-05-14,dividend,0.18,1.0
000001.SZ,2022-07-22,dividend,0.22799999999999998,1.0
000001.SZ,2023-06-14,dividend,0.28500000000000003,1.0
000001.SZ,2024-06-14,dividend,0.7190000000000001,1.0
000001.SZ,2024-10-10,dividend,0.246,1.0
000001.SZ,2025-06-12,dividend,0.362,1.0
000001.SZ,2025-10-15,dividend,0.236,1.0
000002.SZ,1991-06-08,split,0.2,0.8333333333333334
000002.SZ,1992-03-30,split,0.2,0.8333333333333334
000002.SZ,1993-04-05,dividend,0.06,1.0
000002.SZ,1993-04-05,split,0.5,0.6666666666666666
000002.SZ,1994-06-21,dividend,0.15,1.0
000002.SZ,1994-06-21,split,0.35,0.7407407407407407
000002.SZ,1995-07-04,dividend,0.15,1.0
000002.SZ,1995-07-04,split,0.15,0.8695652173913044
000002.SZ,1996-08-06,dividend,0.13999999999999999,1.0
000002.SZ,1996-08-06,split,0.1,0.9090909090909091
000002.SZ,1997-06-27,dividend,0.1,1.0
000002.SZ,1997-06-27,split,0.15,0.8695652173913044
000002.SZ,1998-07-10,dividend,0.15,1.0
000002.SZ,1998-07-10,split,0.1,0.9090909090909091
000002.SZ,1999-08-06,dividend,0.1,1.0
000002.SZ,1999-08-06,split,0.1,0.9090909090909091
000002.SZ,2000-08-17,dividend,0.15,1.0
000002.SZ,2001-08-21,dividend,0.18,1.0
000002.SZ,2002-07-17,dividend,0.2,1.0
000002.SZ,2003-05-23,dividend,0.2,1.0
000002.SZ,2003-05-23,split,1.0,0.5
000002.SZ,2004-05-26,dividend,0.05,1.0
000002.SZ,2004-05-26,split,0.5,0.6666666666666666
000002.SZ,2005-06-29,dividend,0.15,1.0
000002.SZ,2005-06-29,split,0.5,0.6666666666666666
000002.SZ,2006-07-21,dividend,0.15,1.0
000002.SZ,2007-05-16,dividend,0.15,1.0
000002.SZ,2007-05-16,split,0.5,0.6666666666666666
000002.SZ,2008-06-16,dividend,0.1,1.0
000002.SZ,2008-06-16,split,0.6,0.625
000002.SZ,2009-06-08,dividend,0.05,1.0
000002.SZ,2010-05-18,dividend,0.06999999999999999,1.0
000002.SZ,2011-05-27,dividend,0.1,1.0
000002.SZ,2012-07-05,dividend,0.13,1.0
000002.SZ,2013-05-16,dividend,0.18,1.0
000002.SZ,2014-05-08,dividend,0.41,1.0
000002.SZ,2015-07-21,dividend,0.5,1.0
000002.SZ,2016-07-29,dividend,0.72,1.0
000002.SZ,2017-08-29,dividend,0.79,1.0
000002.SZ,2018-08-23,dividend,0.9,1.0
000002.SZ,2019-08-15,dividend,1.045102,1.0
000002.SZ,2020-08-14,dividend,1.0166131,1.0
000002.SZ,2021-08-25,dividend,1.25,1.0
000002.SZ,2022-08-25,dividend,0.9761257000000001,1.0
000002.SZ,2023-08-25,dividend,0.6799999999999999,1.0
000009.SZ,1993-04-12,dividend,0.09,1.0
000009.SZ,1993-04-12,split,0.3,0.7692307692307692
000009.SZ,1994-06-16,dividend,0.122,1.0
000009.SZ,1994-06-16,split,0.7,0.5882352941176471
000009.SZ,1995-07-21,dividend,0.1,1.0
000009.SZ,1995-07-21,split,0.25,0.8
000009.SZ,1996-08-07,dividend,0.03,1.0
000009.SZ,1996-08-07,split,0.05,0.9523809523809523
000009.SZ,1997-08-07,dividend,0.02,1.0
000009.SZ,2009-08-06,dividend,0.03,1.0
000009.SZ,2009-08-06,split,0.05,0.9523809523809523
000009.SZ,2010-08-27,dividend,0.034999999999999996,1.0
000009.SZ,2011-08-03,dividend,0.02,1.0
000009.SZ,2013-07-26,dividend,0.03,1.0
000009.SZ,2013-07-26,split,0.15,0.8695652173913044
000009.SZ,2014-07-09,dividend,0.03,1.0
000009.SZ,2014-07-09,split,0.2,0.8333333333333334
000009.SZ,2015-08-06,dividend,0.02,1.0
000009.SZ,2016-07-21,dividend,0.06999999999999999,1.0
000009.SZ,2016-07-21,split,0.35,0.7407407407407407
000009.SZ,2017-08-16,dividend,0.02,1.0
000009.SZ,2018-07-27,dividend,0.02,1.0
000009.SZ,2019-07-22,dividend,0.02,1.0
000009.SZ,2019-07-22,split,0.2,0.8333333333333334
000009.SZ,2020-08-13,dividend,0.02,1.0
000009.SZ,2021-08-26,dividend,0.03,1.0
