symbol,date,open,high,low,close,volume,amount
300070.SZ,2026-04-20,4.03,4.18,4.01,4.12,523132,0
300070.SZ,2026-04-21,4.1,4.11,4.04,4.07,279712,0
300070.SZ,2026-04-22,4.07,4.09,4.05,4.07,226494,0
300070.SZ,2026-04-23,4.07,4.09,4.02,4.04,317359,0
300070.SZ,2026-04-24,4.03,4.09,4.0,4.08,387084,0
300070.SZ,2026-04-27,4.06,4.1,4.0,4.09,387292,0
300070.SZ,2026-04-28,4.03,4.04,3.88,3.92,786759,0
300070.SZ,2026-04-29,3.91,3.99,3.9,3.96,417990,0
300070.SZ,2026-04-30,3.95,3.96,3.9,3.92,344296,0
300070.SZ,2026-05-06,3.93,3.96,3.92,3.94,400448,0
300070.SZ,2026-05-07,3.94,3.96,3.9,3.91,371873,0
300070.SZ,2026-05-08,3.9,3.93,3.88,3.92,329222,0
300070.SZ,2026-05-11,3.91,3.93,3.89,3.92,356464,0
300070.SZ,2026-05-12,3.91,3.92,3.86,3.87,346618,0
300070.SZ,2026-05-13,3.87,3.9,3.86,3.88,258330,0
300070.SZ,2026-05-14,3.88,3.88,3.79,3.8,457566,0
300070.SZ,2026-05-15,3.79,3.81,3.74,3.75,311020,0
300070.SZ,2026-05-18,3.73,3.75,3.69,3.73,292044,0
300070.SZ,2026-05-19,3.73,3.78,3.71,3.78,280587,0
300070.SZ,2026-05-20,3.78,3.78,3.67,3.7,331470,0
300070.SZ,2026-05-21,3.7,3.74,3.64,3.64,262033,0
300070.SZ,2026-05-22,3.66,3.68,3.62,3.63,239849,0
