symbol,date,open,high,low,close,volume,amount
563180.SH,2024-05-14,1.005,1.006,0.994,0.999,98530933,98672031
563180.SH,2024-05-15,0.998,1.003,0.993,0.999,22348333,22367852
563180.SH,2024-05-16,1.003,1.004,0.997,1.002,25117798,25149616
563180.SH,2024-05-17,1.003,1.009,0.999,1.009,22951631,23070223
563180.SH,2024-05-20,1.007,1.014,1.004,1.013,24274433,24523274
563180.SH,2024-05-21,1.013,1.018,1.009,1.018,27520531,27901962
563180.SH,2024-05-22,1.018,1.025,1.013,1.019,13526200,13808915
563180.SH,2024-05-23,1.019,1.019,1.009,1.018,10991998,11141219
563180.SH,2024-05-24,1.015,1.019,1.009,1.009,5385500,5462412
563180.SH,2024-05-27,1.012,1.024,1.011,1.024,7886900,8035393
563180.SH,2024-05-28,1.025,1.026,1.02,1.023,7317700,7495648
563180.SH,2024-05-29,1.027,1.029,1.019,1.021,6796400,6970883
563180.SH,2024-05-30,1.024,1.028,1.01,1.014,6036000,6168225
563180.SH,2024-05-31,1.014,1.02,1.013,1.013,2864700,2908189
563180.SH,2024-06-03,1.011,1.017,1.007,1.011,2186900,2210317
563180.SH,2024-06-04,1.011,1.014,1.005,1.011,2051100,2068743
563180.SH,2024-06-05,1.011,1.011,1.001,1.003,2464000,2479534
563180.SH,2024-06-06,1.005,1.017,1.005,1.012,4754900,4802729
563180.SH,2024-06-07,1.014,1.016,1.01,1.016,1858700,1882188
563180.SH,2024-06-11,1.015,1.017,0.999,1.003,3268600,3281636
563180.SH,2024-06-12,1.002,1.008,0.993,1.006,2764200,2764926
563180.SH,2024-06-13,1.008,1.008,0.999,1.001,1592200,1593990
563180.SH,2024-06-14,1.001,1.005,0.994,1.001,3890500,3886807
563180.SH,2024-06-17,0.996,1.001,0.986,0.99,3525700,3495951
563180.SH,2024-06-18,0.989,0.995,0.982,0.992,3337031,3300592
563180.SH,2024-06-19,0.991,0.999,0.991,0.998,2357831,2350780
563180.SH,2024-06-20,0.996,0.999,0.994,0.998,2503331,2496294
563180.SH,2024-06-21,0.999,1.006,0.993,0.998,3064000,3054300
563180.SH,2024-06-24,0.998,0.998,0.986,0.99,2961000,2936152
563180.SH,2024-06-25,0.99,1.003,0.99,1.0,5445400,5426427
563180.SH,2024-06-26,1.0,1.0,0.993,0.998,1682900,1676246
563180.SH,2024-06-27,0.997,1.003,0.991,1.0,7359700,7351906
563180.SH,2024-06-28,1.0,1.01,0.999,1.01,5134400,5171200
563180.SH,2024-07-01,1.01,1.027,1.009,1.024,9335500,9535043
563180.SH,2024-07-02,1.024,1.031,1.018,1.029,5899200,6054946
