symbol,date,open,high,low,close,volume,amount
300832.SZ,2026-04-20,45.37,45.77,45.07,45.33,32180,0
300832.SZ,2026-04-21,45.48,46.22,44.67,44.82,43410,0
300832.SZ,2026-04-22,44.61,46.48,44.55,45.7,62093,0
300832.SZ,2026-04-23,45.68,47.38,45.58,46.77,77658,0
300832.SZ,2026-04-24,46.77,49.16,46.52,47.52,83027,0
300832.SZ,2026-04-27,47.17,47.52,46.47,46.62,39959,0
300832.SZ,2026-04-28,47.97,50.09,47.97,49.73,101061,0
300832.SZ,2026-04-29,49.41,49.6,48.11,48.39,71105,0
300832.SZ,2026-04-30,48.03,49.53,47.68,48.25,47259,0
300832.SZ,2026-05-06,48.28,48.5,46.16,47.01,88304,0
300832.SZ,2026-05-07,47.01,48.08,46.99,47.2,55574,0
300832.SZ,2026-05-08,47.2,48.4,47.12,47.43,48113,0
300832.SZ,2026-05-11,47.43,49.48,46.6,49.36,94874,0
300832.SZ,2026-05-12,49.09,50.24,48.52,49.56,80467,0
300832.SZ,2026-05-13,49.85,51.27,49.32,50.18,82654,0
300832.SZ,2026-05-14,49.8,50.21,48.24,48.43,58046,0
300832.SZ,2026-05-15,48.09,51.44,48.09,51.15,104487,0
300832.SZ,2026-05-18,50.44,50.44,48.98,49.27,85393,0
300832.SZ,2026-05-19,49.01,50.61,49.0,50.46,66494,0
300832.SZ,2026-05-20,50.34,50.96,48.81,49.34,64243,0
300832.SZ,2026-05-21,49.02,50.72,49.02,49.54,71331,0
300832.SZ,2026-05-22,49.16,49.38,47.5,47.83,65511,0
